intercept	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	trans_x_derivative1	trans_y_derivative1	trans_z_derivative1	rot_x_derivative1	rot_y_derivative1	rot_z_derivative1	trans_x_power2	trans_y_power2	trans_z_power2	rot_x_power2	rot_y_power2	rot_z_power2	trans_x_derivative1_power2	trans_y_derivative1_power2	trans_z_derivative1_power2	rot_x_derivative1_power2	rot_y_derivative1_power2	rot_z_derivative1_power2	cosine00	cosine01	cosine02	cosine03	cosine04
1.0	0.0242259561562576	-0.0237552361093946	-0.0265652866523993	-0.0006290003268014	0.0004870002203047	1.531616568805597e-07	-0.0001053145174126	-0.0001950067287878	-0.0077413999155454	0.0005199999038476	7.97345999989374e-11	-6.266195930966002e-07	0.0005868969516849	0.000564311242613	0.0007057144549241	3.95641411116268e-07	2.3716921457682643e-07	2.3458493138398305e-14	1.1091147577849052e-08	3.8027624272557243e-08	5.992927265240637e-05	2.703999000015133e-07	6.357606436990546e-21	3.9265211445254884e-13	0.1186599374	0.1148114994	0.1084896234	0.0998305046	0.0890206905
1.0	0.0194237902830138	-0.0348570052005356	0.0245391413736371	-0.0002359517115482	0.0004875233121881	-0.0001979424386452	-0.0048021658732438	-0.0111017690911409	0.0511044280260364	0.0003930486152531	5.230918833999719e-07	-0.000198095600302	0.0003772836289585	0.0012150108115501	0.0006021694593553	5.5673210182524985e-08	2.376789799268556e-07	3.918120901680876e-08	2.30607970741474e-05	0.000123249276953	0.0026116625638683	1.54487213952458e-07	2.7362511847892985e-13	3.9241866859041656e-08	0.1182328141	0.1131244514	0.104773372	0.09341896	0.07938669
1.0	0.0115886312353126	0.0824793343304293	-0.0510678046753696	-0.001005000196699	0.0003359999846881	1.6884004117566093e-07	-0.0078351590477012	0.1173363395309649	-0.0756069460490067	-0.0007690484851508	-0.0001515233274999	0.0001981112786863	0.000134296373908	0.0068028405915907	0.0026079206743617	1.0100253953650286e-06	1.1289598971040344e-07	2.8506959504198884e-14	6.138971730277397e-05	0.0137678165745258	0.0057164102908574	5.914355725127402e-07	2.295931877667225e-08	3.9248078742750804e-08	0.1177452974	0.1112062966	0.1005756196	0.086244407	0.0687399551
1.0	0.0242330199911151	-0.0068609187675718	-0.0402626830175734	-0.00075599971613	0.000487000220305	1.8408602626258065e-07	0.0126443887558025	-0.0893402530980011	0.0108051216577962	0.000249000480569	0.0001510002356169	1.5245985086919717e-08	0.0005872392578897	4.707220633521895e-05	0.0016210836437735	5.715355707886405e-07	2.3716921457711855e-07	3.3887665065147534e-14	0.0001598805670078	0.0079816808236148	0.0001167506540397	6.200123932359297e-08	2.280107115635932e-08	2.324400612705784e-16	0.1171976362	0.1090609537	0.0959156576	0.0783654444	0.0572163058
1.0	0.0197050837965377	-0.0608479458327337	-0.0118541291664087	-0.0008599996666804	0.0002450001221303	1.0535001874334557e-07	-0.0045279361945774	-0.0539870270651619	0.0284085538511647	-0.0001039999505504	-0.0002420000981747	-7.873600751923508e-08	0.0003882903274285	0.0037024725120632	0.0001405203782939	7.395994266903991e-07	6.002505984386192e-08	1.1098626449223262e-14	2.050220618216409e-05	0.0029145990913345	0.0008070459319145	1.0815989714485649e-08	5.856404751656445e-08	6.1993588800690435e-15	0.1165901104	0.1066928056	0.0908149015	0.0698464244	0.0449627491
1.0	0.0241317269905749	-0.0265572183243847	-0.0350108476405637	-0.0014800004075974	0.0001240000605104	9.176008680124825e-08	0.0044266431940372	0.034290727508349	-0.0231567184741549	-0.000620000740917	-0.0001210000616199	-1.3589931942097314e-08	0.0005823402475476	0.000705285845129	0.0012257594525107	2.19040120648847e-06	1.5376015006582862e-08	8.419913529772614e-15	1.9595169967315868e-05	0.0011758539930518	0.0005362336104912	3.84400918737629e-07	1.4641014912019598e-08	1.8468625019083683e-16	0.1159230303	0.1041066901	0.0852967926	0.0607569269	0.0321356035
1.0	0.0241039178536937	-0.0412697664669536	-0.0067789021094597	-0.0006149999733917	0.0002829999936631	8.702249761261991e-08	-2.780913688119752e-05	-0.0147125481425689	0.0282319455311039	0.0008650004342057	0.0001589999331527	-4.737589188628338e-09	0.0005809988558976	0.0017031936242368	4.595351380963717e-05	3.782249672717917e-07	8.008899641331467e-08	7.572915090738439e-15	7.733480940771801e-10	0.0002164590728474	0.0007970427484712	7.482257511760496e-07	2.5280978742563083e-08	2.244475132020812e-17	0.1151967366	0.1013078907	0.07938669	0.0511711914	0.0188985047
1.0	0.0140374199091013	0.0236716678301718	-0.0255447291625188	-0.0011699994220868	0.0001369999945908	8.014496650663935e-08	-0.0100664979445924	0.0649414342971254	-0.018765827053059	-0.0005549994486951	-0.0001459999990723	-6.87753110598056e-09	0.0001970491577044	0.0005603478578619	0.0006525331879864	1.3688986476834463e-06	1.8768998517879236e-08	6.423215656350344e-15	0.0001013343808684	0.0042173898885678	0.0003521562649853	3.0802438805186506e-07	2.1315999729111608e-08	4.730043411373019e-17	0.1144116002	0.098302125	0.0731117546	0.0411675101	0.0054203179
1.0	0.0065793280348458	-0.0240694389971594	0.0144522423909876	-0.0012489975470087	0.0001165325322314	-5.192756001462539e-05	-0.0074580918742555	-0.0477411068273311	0.0399969715535064	-7.899812492189991e-05	-2.04674623594e-05	-5.200770498113203e-05	4.328755739010789e-05	0.0005793378936379	0.0002088673101278	1.5599948724337498e-06	1.3579831068262282e-08	2.696471489072521e-09	5.562313440483593e-05	0.0022792132810986	0.001599757733452	6.240703741176104e-09	4.1891701543345575e-10	2.704801377404465e-09	0.1135680224	0.0950955338	0.0665008237	0.0308275893	-0.0081270158
1.0	0.0127456501481333	-0.0828663561038212	0.0135922722258783	-0.0001289999939098	0.0001710000052912	1.102949994786454e-08	0.0061663221132875	-0.0587969171066618	-0.0008599701651093	0.0011199975530989	5.44674730598e-05	5.1938589514573255e-05	0.0001624515976986	0.0068668329739253	0.0001847498642623	1.6640998428728442e-08	2.9241001809590425e-08	1.2164986909994391e-16	3.802352840481842e-05	0.0034570774612476	7.395486848781185e-07	1.2543945189475233e-06	2.966705621520038e-09	2.697617080763339e-09	0.1126664339	0.0916946678	0.0595842788	0.0202358811	-0.0215706732
1.0	0.0052781758924851	0.0278284502702206	-0.0351691980314967	0.0004470009938964	-2.498162234543244e-05	8.200558962284768e-05	-0.0074674742556482	0.1106948063740418	-0.048761470257375	0.0005760009878062	-0.0001959816276366	8.199456012289982e-05	2.785914075201088e-05	0.0007744226444421	0.0012368724901786	1.9980988854436944e-07	6.240814550098095e-10	6.724916729390904e-09	5.576317175876864e-05	0.0122533401581866	0.0023776809816608	3.317771379537182e-07	3.8408798371103655e-08	6.723107889747833e-09	0.1117072952	0.0881064748	0.0523939058	0.0094788943	-0.034739154
1.0	0.0012466860520135	0.0758088592639723	0.0046974244163209	-0.0005469995613965	-2.5008427852357684e-05	3.0993162097174706e-05	-0.0040314898404716	0.0479804089937516	0.0398666224478176	-0.0009940005552928	-2.6805506925242646e-08	-5.101242752567298e-05	1.554226112285007e-06	0.0057469831429047	2.206579614704775e-05	2.9920852016796337e-07	6.254214636465794e-10	9.605760967817467e-10	1.625291033382573e-05	0.0023021196472076	0.0015893475853968	9.880371039225933e-07	7.185352015192309e-16	2.602267762062038e-09	0.1106910964	0.0843382854	0.0449627491	-0.0013555122	-0.0474644681
1.0	0.0054852156034144	-0.0462510455922	0.0188941039117906	9.506392156813544e-05	0.0001679639346716	-0.0007610081231318	0.0042385295514009	-0.1220599048561723	0.0141966794954697	0.0006420634829646	0.0001929723625239	-0.0007920012852289	3.00875902159408e-05	0.0021391592183717	0.0003569871626295	9.037149183912606e-09	2.821188335036551e-08	5.791333634725849e-07	1.7965132758098716e-05	0.0148986203734978	0.000201545708697	4.122455161566787e-07	3.723833269807776e-08	6.272660358043476e-07	0.1096183565	0.0803977977	0.0373249597	-0.0121788474	-0.0595842788
1.0	0.0054394052129538	-0.0038545019152849	0.011940599446504	-1.0004699952385733e-06	2.0999977330404818e-05	4.500001116176848e-05	-4.581039046059991e-05	0.0423965436769151	-0.0069535044652866	-9.606439156337402e-05	-0.0001469639573411	0.0008060081342935	2.958712907070897e-05	1.4857185014934964e-05	0.0001425779151418	1.0009402113726709e-12	4.4099904787751616e-10	2.025001004559288e-09	2.0985918741526234e-09	0.0017974669157485	4.835122434876069e-05	9.228367326441245e-09	2.1598404757384643e-08	6.49649112547399e-07	0.1084896234	0.0762930619	0.0295156382	-0.0229027108	-0.070943974
1.0	0.0076597956915378	0.0015491065777695	-0.0401378237876457	0.0005639723868127	-0.0001101398723646	-0.0004964691908952	0.0022203904785839	0.0054036084930544	-0.0520784232341497	0.0005649728568079	-0.000131139849695	-0.0005414692020569	5.867247003610104e-05	2.399731189288732e-06	0.001611044898408	3.180648530872137e-07	1.2130791484490381e-08	2.464816575081345e-07	4.930133877386484e-06	2.919898474620965e-05	0.0027121621665552	3.1919432892972344e-07	1.7197660178028455e-08	2.931888967762101e-07	0.1073054737	0.0720324637	0.0215706732	-0.033439514	-0.0813986382
1.0	0.0054424398630459	-0.0463623800308141	0.0571722059215744	0.0003040026357215	-0.0001819955861119	2.902766428609596e-05	-0.0022173558284919	-0.0479114866085836	0.09731002970922	-0.0002599697510911	-7.185571374729999e-05	0.0005254968551812	2.9620151662871072e-05	0.0021494702821216	0.0032686611299389	9.241760252561904e-08	3.3122393364214e-08	8.426052939062907e-10	4.916666870147e-06	0.0022955105490444	0.0094692418820092	6.758427148242046e-08	5.1632435981339165e-09	2.76146944805432e-07	0.1060665123	0.0676247074	0.0135265772	-0.0437031967	-0.0908149015
1.0	0.0054970866021903	0.0784877242701895	-0.1165898384893608	-3.706579294920071e-05	-0.0002569905293232	-0.0005120042306144	5.464673914440041e-05	0.1248501043010036	-0.1737620444109352	-0.0003410684286707	-7.499494321129999e-05	-0.0005410318949004	3.02179611119801e-05	0.0061603228611132	0.0135931904389752	1.373873006953017e-09	6.60441321618185e-08	2.621483321670437e-07	2.9862660991161437e-09	0.0155875485439714	0.0301932480778678	1.163276730359009e-07	5.6242415072661105e-09	2.927155112996214e-07	0.104773372	0.0630787976	0.0054203179	-0.0536099293	-0.0990726408
1.0	-0.004627740406093	0.1015626427504514	-0.099259822136446	-0.0001329901747495	-0.0001820071834015	0.0001079878985576	-0.0101248270082833	0.0230749184802619	0.0173300163529147	-9.59243818002993e-05	7.498334592169999e-05	0.000619992129172	2.1415981266185807e-05	0.0103149704024558	0.0098525122905588	1.7686386579902553e-08	3.3126614809747264e-08	1.1661386234886508e-08	0.0001025121219476	0.0005324518628707	0.0003003294667922	9.201487023769593e-09	5.622502165613322e-09	3.8439024023522993e-07	0.1034267134	0.0584040215	-0.0027108513	-0.0630787976	-0.1060665123
1.0	-0.0010455961837152	-0.046256790060454	0.0342939669800443	-0.000276921301332	0.0002870754770114	-0.0005449597123622	0.0035821442223778	-0.1478194328109054	0.1335537891164903	-0.0001439311265825	0.0004690826604129	-0.0006529476109198	1.09327137939979e-06	0.0021396906266969	0.0011760761712283	7.668540713140834e-08	8.241232950132288e-08	2.9698108809789174e-07	1.2831757229914656e-05	0.0218505847165377	0.0178366145873719	2.0716169199307643e-08	2.200385423000441e-07	4.263405826058745e-07	0.1020272243	0.0536099293	-0.0108295624	-0.0720324637	-0.1117072952
