stage,abs_corr_global_mean_signal_fd,corr_dvars_fd,mean_abs_corr_voxel_fd,voxel_sample_n,median_abs_corr_voxel_fd,max_abs_corr_voxel_fd
pre,0.13686837127752308,0.6050736830687777,0.1552078640859718,,,
post,0.028202322657839448,0.1755123927080382,0.02180594786215425,,,
pre_voxel_sample,,,0.1552078640859718,2000.0,0.14619400835033985,0.51054351893188
post_voxel_sample,,,0.02180594786215425,2000.0,0.019102658688130027,0.09498163122464777
