stage,abs_corr_global_mean_signal_fd,corr_dvars_fd,mean_abs_corr_voxel_fd,voxel_sample_n,median_abs_corr_voxel_fd,max_abs_corr_voxel_fd
pre,0.08401534245135231,0.6950079999975545,0.09511429833899791,,,
post,0.01212937754884156,-0.330480453746926,0.023595497622077133,,,
pre_voxel_sample,,,0.09511429833899791,2000.0,0.08035561699852489,0.3853281159519672
post_voxel_sample,,,0.023595497622077133,2000.0,0.020700721620679957,0.0951458560903859
