intercept	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	trans_x_derivative1	trans_y_derivative1	trans_z_derivative1	rot_x_derivative1	rot_y_derivative1	rot_z_derivative1	trans_x_power2	trans_y_power2	trans_z_power2	rot_x_power2	rot_y_power2	rot_z_power2	trans_x_derivative1_power2	trans_y_derivative1_power2	trans_z_derivative1_power2	rot_x_derivative1_power2	rot_y_derivative1_power2	rot_z_derivative1_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07
1.0	-0.0013443911742996	0.0751855503472711	0.6150164409577599	-0.0009858903367366	0.0011131550553373	0.000701049329857	3.775645922129999e-05	0.0141585119085903	-0.0073449027813126	2.1491725580899835e-05	2.550731797690016e-05	1.026016800058198e-09	1.807387629534657e-06	0.005652866981022	0.3782452226483497	9.719797560706068e-07	1.2391141772229876e-06	4.914701628929489e-07	1.425550212929689e-09	0.0002004634594656	5.394759686693374e-05	4.6189426844470435e-10	6.506232703746934e-10	1.0527104740016641e-18	0.1008563388	0.1003800917	0.0995880118	0.0984825911	0.0970673078	0.0953466148	0.0933259261	0.0910115994
1.0	-0.0014704426085074	0.0600472573940606	0.6089603133505364	-0.0008878713415747	0.0010591898536191	0.0007004707986054	-0.0001260514342078	-0.0151382929532105	-0.0060561276072235	9.80189951619001e-05	-5.396520171820009e-05	-5.785312515999962e-07	2.162201464914047e-06	0.0036056731205485	0.3708326632359834	7.883155191896576e-07	1.1218831460096503e-06	4.906593396988869e-07	1.588896406584333e-08	0.0002291679135372	3.667668159497483e-05	9.607723412548596e-09	2.912242996486026e-09	3.3469840907785815e-13	0.1007526021	0.0999660109	0.0986595713	0.0968400771	0.0945169902	0.0917023912	0.0884109167	0.0846596832
1.0	-0.0013314847548571	0.0357375788223066	0.6202528723296012	-0.0010458792747752	0.0010801340719395	0.0007010658077811	0.0001389578536503	-0.024309678571754	0.0112925589790648	-0.0001580079332005	2.0944218320400124e-05	5.950091756999577e-07	1.7728516524168717e-06	0.0012771745400805	0.3847136256331206	1.0938634574042985e-06	1.1666896133646052e-06	4.914932668397663e-07	1.930928509109821e-08	0.0005909604722619	0.0001275218882956	2.4966506954293668e-08	4.3866028105258414e-10	3.540359191671431e-13	0.1006229812	0.0994492082	0.0975030516	0.0947996265	0.0913599293	0.0872106748	0.0823840887	0.0769176572
1.0	-0.0144212224747093	0.0358125244629548	0.5975563853864685	-0.0013824253731731	0.0012110162139553	0.0007013374265846	-0.0130897377198522	7.494564064820103e-05	-0.0226964869431327	-0.0003365460983978	0.0001308821420157	2.716188035000161e-07	0.000207971657665	0.0012825369084097	0.3570736337161416	1.9110999123927843e-06	1.4665602704626288e-06	4.918741859283092e-07	0.0001713412335745	5.616849052169283e-09	0.0005151305195597	1.1326327634684898e-07	1.7130135098644003e-08	7.377677441478034e-14	0.1004675095	0.0988302147	0.0961211263	0.0923696238	0.0876163914	0.081912977	0.075321233	0.0679126455
1.0	-0.0261237450736189	0.0952263663820502	0.5810763298639898	-0.001393025272172	0.0014930129371371	0.0007020403554466	-0.0117025225989095	0.0594138419190954	-0.0164800555224786	-1.0599898998900088e-05	0.0002819967231818	7.029288620000055e-07	0.0006824500566714	0.0090680608543284	0.3376497011282043	1.9405194089098747e-06	2.2290876304587503e-06	4.928606606755885e-07	0.0001369490351779	0.0035300046115872	0.0002715922300239	1.1235785878688308e-10	7.95221518852728e-08	4.941089850326227e-13	0.1002862268	0.0981096665	0.0945169902	0.0895600545	0.083310408	0.0758582581	0.0673111691	0.05779251
1.0	-0.0287710759223216	0.0552690536171809	0.5921143102057016	-0.0010582460491968	0.0014549582450948	0.00102477072773	-0.0026473308487027	-0.0399573127648693	0.0110379803417117	0.0003347792229752	-3.805469204230002e-05	0.0003227303722833	0.0008277748097279	0.0030546682877388	0.3505993563503738	1.1198847006406358e-06	2.11690349496934e-06	1.0501550444122737e-06	7.008360622492967e-06	0.0015965868433895	0.000121837010024	1.1207712813587873e-07	1.4481595864342927e-09	1.0415489319418188e-07	0.1000791797	0.097288304	0.0926943516	0.0863824638	0.0784696209	0.0691024742	0.0584546282	0.0467234231
1.0	-0.0137622489233422	0.0550865124249781	0.627606566205472	-0.0010579439067265	0.0009410028629279	0.0009419989180041	0.0150088269989794	-0.0001825411922028	0.0354922559997703	3.0214247029986506e-07	-0.0005139553821669	-8.277180972589987e-05	0.000189399495428	0.0030345238511472	0.3938900019442234	1.1192453097797296e-06	8.854863880385041e-07	8.873619615208951e-07	0.0002252648878852	3.3321286850820895e-08	0.0012597002359532	9.129007235890485e-14	2.641501348583243e-07	6.851172485300572e-09	0.0998464214	0.0963669712	0.0906574241	0.082849909	0.073125105	0.0617080609	0.0488629865	0.0348871389
1.0	-0.0014692502637103	0.050690647551292	0.6274645581701179	-0.0008338766110743	0.0010737088038597	0.0007004479393383	0.0122929986596319	-0.0043958648736861	-0.000142008035354	0.0002240672956522	0.0001327059409318	-0.0002415509786657	2.158696337412786e-06	0.0025695417491693	0.3937117717596213	6.953502024967593e-07	1.1528505954858276e-06	4.906273157232708e-07	0.0001511178160457	1.932362798770733e-05	2.016628210510981e-08	5.0206152980890446e-08	1.7610866758594398e-08	5.834687529440575e-08	0.0995880118	0.0953466148	0.0884109167	0.0789769061	0.0673111691	0.0537433556	0.0386568643	0.0224780088
1.0	-0.0092540336605537	0.0715596381717631	0.619518703660745	-0.0011919227997319	0.0012020784627146	0.0007012168978806	-0.0077847833968434	0.0208689906204711	-0.0079458545093729	-0.0003580461886576	0.0001283696588549	7.689585422999533e-07	8.563713899066092e-05	0.0051207818152736	0.38380342418549	1.420679960520731e-06	1.444992630522296e-06	4.917051378732918e-07	6.0602852535768665e-05	0.0004355147695173	6.313660388412176e-05	1.2819707321223373e-07	1.6478769314523418e-08	5.912972397760692e-13	0.0993040172	0.0942282833	0.0859600226	0.0747793702	0.0610651352	0.0452819664	0.0279646096	0.0096997904
1.0	-0.0095676519714231	0.0364978621856693	0.6043318381385774	-0.0010769075831584	0.0011591237923702	0.0007011251085421	-0.0003136183108693	-0.0350617759860938	-0.0151868655221676	0.0001150152165735	-4.295467034439999e-05	-9.178933849996777e-08	9.153996424627634e-05	0.0013320939441241	0.3652169705879517	1.1597299426640665e-06	1.3435679660386749e-06	4.915764178281715e-07	9.835644491257533e-08	0.001229328135299	0.0002306408843884	1.3228500043449113e-08	1.8451037043960763e-09	8.425282662261662e-15	0.0989945105	0.0930131259	0.083310408	0.0702745499	0.0544270991	0.0364020914	0.0169206838	-0.0032376983
1.0	-0.0086608685197688	0.0359611687230767	0.6138546989450191	-0.0011800093574949	0.0011629808185404	0.0008821863716766	0.0009067834516543	-0.0005366934625926	0.0095228608064417	-0.0001031017743365	3.857026170200027e-06	0.0001810612631344	7.50106435167222e-05	0.0012932056559295	0.37681759141688	1.392422083775527e-06	1.3525243842928988e-06	7.782527943719241e-07	8.222562281940868e-07	2.880398727896356e-07	9.068487793886373e-05	1.0629975871334582e-08	1.4876650877607888e-11	3.2783181007860616e-08	0.0986595713	0.0917023912	0.080468198	0.0654809563	0.0474396731	0.0271857966	0.0056639705	-0.016122024
1.0	-0.0146701267102145	0.0352857472251741	0.620865112374446	-0.0014040461772779	0.001243386281307	0.000875873749602	-0.0060092581904457	-0.0006754214979025	0.0070104134294268	-0.0002240368197829	8.040546276659997e-05	-6.312622074599911e-06	0.0002152126176937	0.0012450839572388	0.3854734877637334	1.971345667928684e-06	1.54600944454245e-06	7.67154825241867e-07	3.611118399943874e-05	4.561941998289873e-07	4.9145896451488695e-05	5.019249661848037e-08	6.465038442711094e-09	3.984919745672608e-11	0.0982992856	0.0902974261	0.0774399633	0.0604182874	0.0401477124	0.0177182567	-0.0056639705	-0.0287416266
1.0	-0.0158922052542465	0.0661193550735248	0.6041649110442222	-0.0014889029816779	0.0011429793776778	0.0007013518074399	-0.0012220785440319	0.0308336078483507	-0.0167002013302237	-8.485680440000008e-05	-0.0001004069036292	-0.0001745219421621	0.0002525621878431	0.0043717691153388	0.3650152397370729	2.216832088849341e-06	1.306401857796731e-06	4.918943577992146e-07	1.493475967783368e-06	0.0009507113729458	0.00027889672447	7.200677252979873e-09	1.0081546296403465e-08	3.0457908296031395e-08	0.097913746	0.0887996743	0.0742327045	0.0551073469	0.032598027	0.0080869688	-0.0169206838	-0.0408892924
1.0	-0.0145560356483827	0.0516048977086001	0.6009149506034674	-0.0014889166409483	0.001181979332786	0.0007013808567888	0.0013361696058637	-0.0145144573649247	-0.0032499604407547	-1.3659270399870097e-08	3.899995510820006e-05	2.9049348899989374e-08	0.0002118781737969	0.002663065467515	0.3610987778587677	2.2168727636927686e-06	1.3970751431332375e-06	4.919351062697912e-07	1.785349215634218e-06	0.0002106694725982	1.0562242866470888e-05	1.8657566785676736e-16	1.52099649844162e-09	8.438646715133136e-16	0.0975030516	0.0872106748	0.0708538361	0.0495699584	0.0248390815	-0.0016190571	-0.0279646096	-0.0523655572
1.0	-0.0156081620422412	0.0427104607737049	0.6007409483257646	-0.0009538298069218	0.0009416668066581	0.0007004490637821	-0.0010521263938585	-0.0088944369348952	-0.0001740022777028	0.0005350868340264	-0.0002403125261279	-9.317930067000418e-07	0.0002436147223368	0.0018241834595021	0.360889686995339	9.097913005724784e-07	8.867363747616635e-07	4.906288909532204e-07	1.1069699486536915e-06	7.911100838882794e-05	3.0276792645766385e-08	2.863179199485031e-07	5.775011021397265e-08	8.682382073351043e-13	0.0970673078	0.0855320604	0.0673111691	0.0438288763	0.0169206838	-0.01131012	-0.0386568643	-0.062981981
1.0	-0.0013672597942218	0.0546808180678795	0.6149302555993472	-0.0011908683336996	0.0010470837633016	0.0007011239492955	0.0142409022480194	0.0119703572941746	0.0141893072735825	-0.0002370385267777	0.0001054169566434	6.748855134000066e-07	1.8693993448954392e-06	0.0029899918645725	0.3781392192514785	1.4181673882084617e-06	1.096384407369841e-06	4.915747922757188e-07	0.0002028032968376	0.0001432894537501	0.0002013364409041	5.6187263176989784e-08	1.1112734747977554e-08	4.554704561971905e-13	0.0966066266	0.0837655561	0.0636128936	0.037907692	0.0088936652	-0.0208966574	-0.0488629865	-0.0725642424
1.0	-0.0154682550653575	0.0352706592825455	0.6009086838725182	-0.0011908305641853	0.0009410827623312	0.000701060948904	-0.0141009952711357	-0.019410158785334	-0.014021571726829	3.77695142999776e-08	-0.0001060010009703	-6.300039149999964e-08	0.0002392669147669	0.0012440194062254	0.3610912463534019	1.4180774325978798e-06	8.856367655569218e-07	4.914864540781769e-07	0.0001988380676365	0.0003767542640718	0.0001966044736906	1.4265362104562129e-15	1.1236212206726734e-08	3.9690493291532274e-15	0.0961211263	0.081912977	0.0597675591	0.0318307368	0.0008095546	-0.0302900726	-0.0584546282	-0.0809550009
1.0	-0.0176738139771543	0.0353890222286992	0.6009910413850292	-0.0011909216038239	0.0010390177260442	0.0008106197752436	-0.0022055589117967	0.0001183629461537	8.235751251106649e-05	-9.103963859993444e-08	9.793496371299996e-05	0.0001095588263396	0.000312363700499	0.0012523828943033	0.3611902318250619	1.41829426645449e-06	1.07955783503406e-06	6.571044200159846e-07	4.864490113406274e-06	1.4009787022183888e-08	6.782759867010473e-09	8.288215796406673e-15	9.59125711746662e-09	1.2003136428910653e-08	0.0956109317	0.0799762268	0.0557840552	0.0256229823	-0.007279753	-0.0394035537	-0.0673111691	-0.0880164806
1.0	-0.0013234366539336	0.039926124868586	0.6008539997571347	-0.0011909200381847	0.0011940838174584	0.0007012115339536	0.0163503773232207	0.0045371026398868	-0.0001370416278945	1.565639199882507e-09	0.0001550660914142	-0.00010940824129	1.7514845769749635e-06	0.0015940954470219	0.3610255290241468	1.4182905373498474e-06	1.4258361631160257e-06	4.916976153495607e-07	0.0002673348386116	2.058530036486781e-05	1.878040777597969e-08	2.4512261042087368e-18	2.404549270647708e-08	1.1970163262170885e-08	0.0950761739	0.0779572956	0.0516715908	0.0193099375	-0.0153223288	-0.0481528762	-0.075321233	-0.0936327321
1.0	-0.0010873347091688	0.0522726119042431	0.6009084917694025	-0.0011908305641853	0.0009410827623312	0.000701060948904	0.0002361019447648	0.012346487035657	5.449201226781497e-05	8.947399940005193e-08	-0.0002530010551272	-1.505850495999968e-07	1.1822967697631988e-06	0.0027324259552916	0.3610910154805781	1.4180774325978798e-06	8.856367655569218e-07	4.914864540781769e-07	5.574412832172072e-08	0.0001524357421216	2.969379400995697e-09	8.005596568640494e-15	6.400953389547655e-08	2.267585716303349e-14	0.0945169902	0.0758582581	0.0474396731	0.012917544	-0.0232665442	-0.0564571806	-0.0823840887	-0.0977115367
1.0	-0.0123041581228164	0.0513569485544422	0.6008180290983631	-0.0011909821080706	0.0011910206694456	0.0008072098606918	-0.0112168234136476	-0.0009156633498009	-9.046267103940409e-05	-1.5154388529996232e-07	0.0002499379071143	0.0001061489117878	0.0001513923071112	0.0026375361648236	0.3609823040896415	1.4184383817442902e-06	1.4185302350466452e-06	6.515877591980752e-07	0.0001258171274929	8.384393701686065e-07	8.183494851583438e-09	2.2965549171808136e-14	6.246895741272643e-08	1.1267591473734153e-08	0.0939335243	0.073681271	0.0430980853	0.0064720696	-0.0310614022	-0.0642397205	-0.0884109167	-0.1001859206
1.0	-0.0134228989761879	0.0378494437734389	0.6009165510154588	-0.0011909622462234	0.000940916497804	0.0009810610229219	-0.0011187408533715	-0.0135075047810033	9.852191709569524e-05	1.9861847199917352e-08	-0.0002501041716415	0.00017385116223	0.0001801742169249	0.0014325803939587	0.3611007012843145	1.4183910719294865e-06	8.853238558397448e-07	9.624807306965646e-07	1.2515810970023926e-06	0.0001824526854088	9.706568148211048e-09	3.944929741928646e-16	6.255209667253088e-08	3.022422660875653e-08	0.0933259261	0.0714285714	0.0386568643	0.0	-0.0386568643	-0.0714285714	-0.0933259261	-0.1010152545
1.0	-0.0011816113161557	0.0311873879704336	0.6011043990277898	-0.0014569757984631	0.0009407653642075	0.0010101861792621	0.0122412876600322	-0.0066620558030053	0.0001878480123309	-0.0002660135522397	-1.5113359650006588e-07	2.912515634019997e-05	1.3962053024672058e-06	0.0009726531684183	0.3613264985305603	2.122778477307188e-06	8.850394704924701e-07	1.0204761167721597e-06	0.0001498491235756	4.438298752235661e-05	3.528687573669252e-08	7.076320997518359e-08	2.2841363991044716e-14	8.482747318410904e-10	0.0926943516	0.0691024742	0.0341262771	-0.0064720696	-0.0460041721	-0.0779572956	-0.0970673078	-0.1001859206
1.0	-0.0010873202131591	0.0352949329335814	0.6010211870355704	-0.0016373311097142	0.0009409268870639	0.0007012707686564	9.42911029966e-05	0.0041075449631478	-8.321199221938969e-05	-0.0001803553112511	1.6152285640003586e-07	-0.0003089154106056	1.1822652459443508e-06	0.001245732290786	0.3612264672656461	2.680853162837934e-06	8.853434067997612e-07	4.917806909719381e-07	8.890812104315429e-09	1.687192562428088e-05	6.924235649119769e-09	3.25280382964812e-08	2.6089633139626603e-14	9.542873090968821e-08	0.0920389632	0.0667053695	0.0295167975	-0.012917544	-0.0530561602	-0.0837655561	-0.0995880118	-0.0977115367
1.0	-0.0013413827435044	0.0352890378483579	0.6011613892061689	-0.0017238785398402	0.0010758969456703	0.0007014284793127	-0.0002540625303453	-5.8950852235006845e-06	0.0001402021705985	-8.654743012599989e-05	0.0001349700586063	1.5771065630006134e-07	1.7993076645713912e-06	0.0012453161922628	0.3613950158722909	2.97175722012158e-06	1.1575542377026802e-06	4.920019115909269e-07	6.45477693254565e-08	3.475202979233612e-11	1.965664864053468e-08	7.490457661414833e-09	1.8216916720215025e-08	2.4872651110596076e-14	0.0913599293	0.0642397205	0.0248390815	-0.0193099375	-0.0597675591	-0.0887996743	-0.1008563388	-0.0936327321
1.0	-0.0136092350956573	0.0702987588097983	0.6010968292955852	-0.0015258311937325	0.0009409658394494	0.0007012184270432	-0.0122678523521529	0.0350097209614404	-6.455991058373911e-05	0.0001980473461077	-0.0001349311062208	-2.1005226949998013e-07	0.0001852112798888	0.0049419154901981	0.3613173981892058	2.3281608317671458e-06	8.854167110107139e-07	4.917072824249396e-07	0.0001505002013342	0.0012256805617979	4.167982054580389e-09	3.9222751300303134e-08	1.8206403425995786e-08	4.4121955922092287e-14	0.0906574241	0.0617080609	0.0201039431	-0.0256229823	-0.0660952855	-0.0930131259	-0.1008563388	-0.0880164806
1.0	-0.0099580376521402	0.0394648091346994	0.613268941935857	-0.0011929213284388	0.0009409679082206	0.0008940618929076	0.0036511974435171	-0.0308339496750989	0.0121721126402718	0.0003329098652936	2.0687712000292194e-09	0.0001928434658643	9.916251388144193e-05	0.0015574711600382	0.3760987951431255	1.4230612958441914e-06	8.854206043010515e-07	7.993466683495208e-07	1.3331242771545808e-05	0.0009507324525665	0.0001481603261274	1.1082897840986945e-07	4.279814278070336e-18	3.7188602326594e-08	0.0899316284	0.059112992	0.0153223288	-0.0318307368	-0.0719987191	-0.0963669712	-0.0995880118	-0.0809550009
1.0	-0.0012629414108857	0.0564040071003404	0.6254288353099469	-0.0009718814226474	0.0008250530503581	0.00092190152777	0.0086950962412545	0.016939197965641	0.0121598933740898	0.0002210399057914	-0.0001159148578624	2.7839634862400053e-05	1.5950210073299628e-06	0.0031814120169752	0.3911612280371566	9.44553499687134e-07	6.807125359052055e-07	8.499024269046602e-07	7.560469864467814e-05	0.0002869364277191	0.0001478630068692	4.8858639952271e-08	1.3436254273283569e-08	7.750452692717604e-10	0.0891827284	0.0564571806	0.0105052926	-0.037907692	-0.0774399633	-0.0988302147	-0.0970673078	-0.0725642424
1.0	-0.0084930827220972	0.0564391397076633	0.6048356529144456	-0.0015850071794918	0.0010262189625771	0.0009868143116903	-0.0072301413112115	3.513260732290052e-05	-0.0205931823955012	-0.0006131257568443	0.000201165912219	6.491278392029996e-05	7.2132454124386e-05	0.0031853764909411	0.3658261670364438	2.512247759040551e-06	1.0531253591528197e-06	9.738024857568006e-07	5.227494338008715e-05	1.2343000973051231e-09	0.0004240791611743	3.759231937060184e-07	4.0467724238902414e-08	4.2136695162835535e-09	0.0884109167	0.0537433556	0.0056639705	-0.0438288763	-0.0823840887	-0.1003800917	-0.0933259261	-0.062981981
1.0	-0.0169113947514318	0.0563025178059319	0.6105954656179335	-0.0015890933836919	0.001168196410975	0.0010129292415878	-0.0084183120293345	-0.0001366219017314	0.0057598127034879	-4.086204200100122e-06	0.0001419774483978	2.611492989749997e-05	0.0002859952724387	0.0031699735112872	0.372826822633181	2.525217782093372e-06	1.364682854614871e-06	1.0260256484636356e-06	7.086797742323959e-05	1.866554403270468e-08	3.3175442379260705e-05	1.6697064764915877e-11	2.0157595853578336e-08	6.819895635513379e-10	0.0876163914	0.0509743057	0.0008095546	-0.0495699584	-0.0867993568	-0.1010022786	-0.0884109167	-0.0523655572
